### Fill Cross Sections for kaon+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012      0.2728           0       0.2728
    1      0.1035      0.2729           0       0.2729
    2      0.1059      0.2729           0       0.2729
    3      0.1084      0.2729           0       0.2729
    4      0.1109       0.273           0        0.273
    5      0.1135       0.273           0        0.273
    6      0.1161       0.273           0        0.273
    7      0.1189      0.2731           0       0.2731
    8      0.1216      0.2731           0       0.2731
    9      0.1245      0.2732           0       0.2732
   10      0.1274      0.2732           0       0.2732
   11      0.1303      0.2733           0       0.2733
   12      0.1334      0.2733           0       0.2733
   13      0.1365      0.2733           0       0.2733
   14      0.1396      0.2734           0       0.2734
   15      0.1429      0.2734           0       0.2734
   16      0.1462      0.2735           0       0.2735
   17      0.1496      0.2735           0       0.2735
   18      0.1531      0.2736           0       0.2736
   19      0.1567      0.2736           0       0.2736
   20      0.1603      0.2737           0       0.2737
   21      0.1641      0.2737           0       0.2737
   22      0.1679      0.2737           0       0.2737
   23      0.1718      0.2738           0       0.2738
   24      0.1758      0.2738           0       0.2738
   25      0.1799      0.2739           0       0.2739
   26      0.1841      0.2739           0       0.2739
   27      0.1884       0.274           0        0.274
   28      0.1928       0.274           0        0.274
   29      0.1972      0.2741           0       0.2741
   30      0.2018      0.2741           0       0.2741
   31      0.2065      0.2742           0       0.2742
   32      0.2113      0.2743           0       0.2743
   33      0.2163      0.2743           0       0.2743
   34      0.2213      0.2744           0       0.2744
   35      0.2265      0.2744           0       0.2744
   36      0.2317      0.2745           0       0.2745
   37      0.2371      0.2745           0       0.2745
   38      0.2427      0.2746           0       0.2746
   39      0.2483      0.2746           0       0.2746
   40      0.2541      0.2747           0       0.2747
   41        0.26      0.2748           0       0.2748
   42      0.2661      0.2748           0       0.2748
   43      0.2723      0.2749           0       0.2749
   44      0.2786      0.2749           0       0.2749
   45      0.2851       0.275           0        0.275
   46      0.2917      0.2751           0       0.2751
   47      0.2985      0.2751           0       0.2751
   48      0.3055      0.2752           0       0.2752
   49      0.3126      0.2753           0       0.2753
