### Fill Cross Sections for pi- off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012      0.3291       0.356       0.6851
    1      0.1035      0.3291       0.356       0.6851
    2      0.1059      0.3291       0.356       0.6851
    3      0.1084      0.3291      0.3561       0.6851
    4      0.1109      0.3291      0.3561       0.6852
    5      0.1135      0.3291      0.3561       0.6852
    6      0.1161      0.3291      0.3561       0.6852
    7      0.1189      0.3291      0.3561       0.6852
    8      0.1216      0.3291      0.3561       0.6852
    9      0.1245      0.3291      0.3561       0.6852
   10      0.1274      0.3291      0.3561       0.6852
   11      0.1303      0.3291      0.3561       0.6852
   12      0.1334      0.3291      0.3562       0.6852
   13      0.1365      0.3291      0.3562       0.6853
   14      0.1396      0.3291      0.3562       0.6853
   15      0.1429      0.3291      0.3562       0.6853
   16      0.1462      0.3291      0.3562       0.6853
   17      0.1496      0.3291      0.3562       0.6853
   18      0.1531      0.3291      0.3562       0.6853
   19      0.1567      0.3291      0.3562       0.6853
   20      0.1603      0.3291      0.3563       0.6853
   21      0.1641      0.3291      0.3563       0.6854
   22      0.1679      0.3291      0.3563       0.6854
   23      0.1718      0.3291      0.3563       0.6854
   24      0.1758      0.3291      0.3563       0.6854
   25      0.1799      0.3291      0.3563       0.6854
   26      0.1841      0.3291      0.3564       0.6854
   27      0.1884      0.3291      0.3564       0.6855
   28      0.1928      0.3291      0.3564       0.6855
   29      0.1972      0.3291      0.3564       0.6855
   30      0.2018      0.3291      0.3564       0.6855
   31      0.2065      0.3291      0.3564       0.6855
   32      0.2113      0.3291      0.3565       0.6856
   33      0.2163      0.3291      0.3565       0.6856
   34      0.2213      0.3291      0.3565       0.6856
   35      0.2265      0.3291      0.3565       0.6856
   36      0.2317      0.3291      0.3565       0.6856
   37      0.2371      0.3291      0.3566       0.6857
   38      0.2427      0.3291      0.3566       0.6857
   39      0.2483      0.3291      0.3566       0.6857
   40      0.2541      0.3291      0.3566       0.6857
   41        0.26      0.3291      0.3567       0.6857
   42      0.2661      0.3291      0.3567       0.6858
   43      0.2723      0.3291      0.3567       0.6858
   44      0.2786      0.3291      0.3567       0.6858
   45      0.2851      0.3291      0.3568       0.6858
   46      0.2917      0.3291      0.3568       0.6859
   47      0.2985      0.3291      0.3568       0.6859
   48      0.3055      0.3291      0.3568       0.6859
   49      0.3126      0.3291      0.3569        0.686
   50      0.3199      0.3291      0.3569        0.686
   51      0.3273      0.3291      0.3569        0.686
   52       0.335      0.3291       0.357        0.686
   53      0.3428      0.3291       0.357       0.6861
   54      0.3508      0.3291       0.357       0.6861
   55      0.3589      0.3291      0.3571       0.6861
   56      0.3673      0.3291      0.3571       0.6862
   57      0.3758      0.3291      0.3571       0.6862
   58      0.3846      0.3291      0.3572       0.6862
   59      0.3936      0.3291      0.3572       0.6863
   60      0.4027      0.3291      0.3572       0.6863
   61      0.4121      0.3291      0.3573       0.6864
   62      0.4217      0.3291      0.3573       0.6864
   63      0.4315      0.3291      0.3573       0.6864
   64      0.4416      0.3291      0.3574       0.6865
   65      0.4519      0.3291      0.3574       0.6865
   66      0.4624      0.3291      0.3575       0.6866
   67      0.4732      0.3291      0.3575       0.6866
   68      0.4842      0.3291      0.3576       0.6866
   69      0.4955      0.3291      0.3576       0.6867
   70       0.507      0.3291      0.3576       0.6867
   71      0.5188      0.3291      0.3577       0.6868
   72      0.5309      0.3291      0.3577       0.6868
   73      0.5433      0.3291      0.3578       0.6869
   74      0.5559      0.3291      0.3578       0.6869
   75      0.5689      0.3291      0.3579        0.687
   76      0.5821      0.3291       0.358        0.687
   77      0.5957      0.3291       0.358       0.6871
   78      0.6095      0.3291      0.3581       0.6871
   79      0.6237      0.3291      0.3581       0.6872
   80      0.6383      0.3291      0.3582       0.6873
   81      0.6531      0.3291      0.3582       0.6873
   82      0.6683      0.3291      0.3583       0.6874
   83      0.6839      0.3291      0.3584       0.6874
   84      0.6998      0.3291      0.3584       0.6875
   85      0.7161      0.3291      0.3585       0.6876
   86      0.7328      0.3291      0.3586       0.6876
   87      0.7499      0.3291      0.3586       0.6877
   88      0.7674      0.3291      0.3587       0.6878
   89      0.7852      0.3291      0.3588       0.6879
   90      0.8035      0.3291      0.3588       0.6879
   91      0.8222      0.3291      0.3589        0.688
   92      0.8414      0.3291       0.359       0.6881
   93       0.861      0.3291      0.3591       0.6882
   94       0.881      0.3291      0.3591       0.6882
   95      0.9016      0.3291      0.3592       0.6883
   96      0.9226      0.3291      0.3593       0.6884
   97      0.9441      0.3291      0.3594       0.6885
   98      0.9661      0.3291      0.3595       0.6886
   99      0.9886      0.3291      0.3596       0.6887
  100       1.012      0.3291      0.3597       0.6888
  101       1.035      0.3291      0.3598       0.6889
  102       1.059      0.3291      0.3599        0.689
  103       1.084      0.3291        0.36       0.6891
  104       1.109      0.3291      0.3601       0.6892
  105       1.135      0.3291      0.3602       0.6893
  106       1.161      0.3291      0.3603       0.6894
  107       1.189      0.3291      0.3604       0.6895
  108       1.216      0.3291      0.3605       0.6896
  109       1.245      0.3291      0.3606       0.6897
  110       1.274      0.3291      0.3607       0.6898
  111       1.303      0.3291      0.3608       0.6899
  112       1.334      0.3291       0.361       0.6901
  113       1.365      0.3291      0.3611       0.6902
  114       1.396      0.3291      0.3612       0.6903
  115       1.429      0.3291      0.3613       0.6904
  116       1.462      0.3291      0.3615       0.6906
  117       1.496      0.3291      0.3616       0.6907
  118       1.531      0.3291      0.3618       0.6908
  119       1.567      0.3291      0.3619        0.691
  120       1.603      0.3291       0.362       0.6911
  121       1.641      0.3291      0.3622       0.6913
  122       1.679      0.3291      0.3623       0.6914
  123       1.718      0.3291      0.3625       0.6916
  124       1.758      0.3291      0.3627       0.6918
  125       1.799      0.3291      0.3628       0.6919
  126       1.841      0.3291       0.363       0.6921
  127       1.884      0.3291      0.3632       0.6923
  128       1.928      0.3291      0.3633       0.6924
  129       1.972      0.3291      0.3635       0.6926
  130       2.018      0.3291      0.3637       0.6928
  131       2.065      0.3291      0.3639        0.693
  132       2.113      0.3291      0.3641       0.6932
  133       2.163      0.3291      0.3643       0.6934
  134       2.213      0.3291      0.3645       0.6936
  135       2.265      0.3291      0.3647       0.6938
  136       2.317      0.3291      0.3649        0.694
  137       2.371      0.3291      0.3651       0.6942
  138       2.427      0.3291      0.3653       0.6944
  139       2.483      0.3291      0.3656       0.6947
  140       2.541      0.3291      0.3658       0.6949
  141         2.6      0.3291       0.366       0.6951
  142       2.661      0.3291      0.3663       0.6954
  143       2.723      0.3291      0.3665       0.6956
  144       2.786      0.3291      0.3668       0.6959
  145       2.851      0.3291       0.367       0.6961
  146       2.917      0.3291      0.3673       0.6964
  147       2.985      0.3291      0.3676       0.6967
  148       3.055      0.3291      0.3679        0.697
  149       3.126      0.3291      0.3681       0.6972
  150       3.199      0.3291      0.3684       0.6975
  151       3.273      0.3291      0.3687       0.6978
  152        3.35      0.3291       0.369       0.6981
  153       3.428      0.3291      0.3694       0.6984
  154       3.508      0.3291      0.3697       0.6988
  155       3.589      0.3291        0.37       0.6991
  156       3.673      0.3291      0.3703       0.6994
  157       3.758      0.3291      0.3707       0.6998
  158       3.846      0.3291       0.371       0.7001
  159       3.936      0.3291      0.3714       0.7005
  160       4.027      0.3291      0.3718       0.7008
  161       4.121      0.3291      0.3721       0.7012
  162       4.217      0.3291      0.3725       0.7016
  163       4.315      0.3291      0.3729        0.702
  164       4.416      0.3291      0.3733       0.7024
  165       4.519      0.3291      0.3737       0.7028
  166       4.624      0.3291      0.3742       0.7032
  167       4.732      0.3291      0.3746       0.7037
  168       4.842      0.3291       0.375       0.7041
  169       4.955      0.3291      0.3755       0.7046
  170        5.07      0.3291      0.3759        0.705
  171       5.188      0.3291      0.3764       0.7055
  172       5.309      0.3291      0.3769        0.706
  173       5.433      0.3291      0.3774       0.7065
  174       5.559      0.3291      0.3779        0.707
  175       5.689      0.3291      0.3784       0.7075
  176       5.821      0.3291       0.379        0.708
  177       5.957      0.3291      0.3795       0.7086
  178       6.095      0.3291      0.3801       0.7091
  179       6.237      0.3291      0.3806       0.7097
  180       6.383      0.3291      0.3812       0.7103
  181       6.531      0.3291      0.3818       0.7109
  182       6.683      0.3291      0.3824       0.7115
  183       6.839      0.3291       0.383       0.7121
  184       6.998      0.3291      0.3837       0.7128
  185       7.161      0.3291      0.3843       0.7134
  186       7.328      0.3291       0.385       0.7141
  187       7.499      0.3291      0.3857       0.7148
  188       7.674      0.3291      0.3864       0.7155
  189       7.852      0.3291      0.3871       0.7162
  190       8.035      0.3291      0.3878       0.7169
  191       8.222      0.3291      0.3886       0.7177
  192       8.414      0.3291      0.3893       0.7184
  193        8.61      0.3291      0.3901       0.7192
  194        8.81      0.3291      0.3909         0.72
  195       9.016      0.3291      0.3918       0.7208
  196       9.226      0.3291      0.3926       0.7217
  197       9.441      0.3291      0.3935       0.7226
  198       9.661      0.3291      0.3943       0.7234
  199       9.886      0.3291      0.3952       0.7243
  200       10.12      0.3291      0.3962       0.7253
  201       10.35      0.3291      0.3971       0.7262
  202       10.59      0.3291      0.3981       0.7272
  203       10.84      0.3291      0.3991       0.7282
  204       11.09      0.3291      0.4001       0.7292
  205       11.35      0.3291      0.4011       0.7302
  206       11.61      0.3291      0.4022       0.7313
  207       11.89      0.3291      0.4033       0.7324
  208       12.16      0.3291      0.4044       0.7335
  209       12.45      0.3291      0.4055       0.7346
  210       12.74      0.3291      0.4067       0.7358
  211       13.03      0.3291      0.4079       0.7369
  212       13.34      0.3291      0.4091       0.7382
  213       13.65      0.3291      0.4103       0.7394
  214       13.96      0.3291      0.4116       0.7407
  215       14.29      0.3291      0.4129        0.742
  216       14.62      0.3291      0.4142       0.7433
  217       14.96      0.3291      0.4156       0.7447
  218       15.31      0.3291       0.417       0.7461
  219       15.67      0.3291      0.4184       0.7475
  220       16.03      0.3291      0.4199        0.749
  221       16.41      0.3291      0.4214       0.7505
  222       16.79      0.3291      0.4229        0.752
  223       17.18      0.3291      0.4245       0.7536
  224       17.58      0.3291      0.4261       0.7552
  225       17.99      0.3291      0.4277       0.7568
  226       18.41      0.3291      0.4294       0.7585
  227       18.84      0.3291      0.4311       0.7602
  228       19.28      0.3291      0.4329        0.762
  229       19.72      0.3291      0.4347       0.7638
  230       20.18        0.33      0.4365       0.7665
  231       20.65      0.3323      0.4384       0.7708
  232       21.13      0.3347      0.4403       0.7751
  233       21.63      0.3372      0.4423       0.7795
  234       22.13      0.3397      0.4443        0.784
  235       22.65      0.3423      0.4464       0.7887
  236       23.17      0.3449      0.4485       0.7934
  237       23.71      0.3476      0.4507       0.7982
  238       24.27      0.3503      0.4529       0.8032
  239       24.83      0.3531      0.4552       0.8083
  240       25.41       0.356      0.4575       0.8135
  241          26       0.359      0.4599       0.8188
  242       26.61       0.362      0.4623       0.8242
  243       27.23      0.3651      0.4648       0.8298
  244       27.86      0.3682      0.4673       0.8355
  245       28.51      0.3714      0.4699       0.8413
  246       29.17      0.3747      0.4726       0.8473
  247       29.85      0.3781      0.4753       0.8534
