### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012      0.1149    0.004628       0.1195
    1      0.1035      0.1149    0.004646       0.1195
    2      0.1059      0.1149    0.004665       0.1195
    3      0.1084      0.1149    0.004685       0.1196
    4      0.1109      0.1149    0.004704       0.1196
    5      0.1135      0.1149    0.004725       0.1196
    6      0.1161      0.1149    0.004745       0.1196
    7      0.1189      0.1149    0.004766       0.1196
    8      0.1216      0.1149    0.004788       0.1197
    9      0.1245      0.1149     0.00481       0.1197
   10      0.1274      0.1149    0.004833       0.1197
   11      0.1303      0.1149    0.004856       0.1197
   12      0.1334      0.1149     0.00488       0.1198
   13      0.1365      0.1149    0.004904       0.1198
   14      0.1396      0.1149    0.004929       0.1198
   15      0.1429      0.1149    0.004955       0.1198
   16      0.1462      0.1149    0.004981       0.1199
   17      0.1496      0.1149    0.005007       0.1199
   18      0.1531      0.1149    0.005035       0.1199
   19      0.1567      0.1149    0.005062       0.1199
   20      0.1603      0.1149    0.005091         0.12
   21      0.1641      0.1149     0.00512         0.12
   22      0.1679      0.1149     0.00515         0.12
   23      0.1718      0.1149    0.005181       0.1201
   24      0.1758      0.1149    0.005212       0.1201
   25      0.1799      0.1149    0.005244       0.1201
   26      0.1841      0.1149    0.005277       0.1202
   27      0.1884      0.1149     0.00531       0.1202
   28      0.1928      0.1149    0.005345       0.1202
   29      0.1972      0.1149     0.00538       0.1203
   30      0.2018      0.1149    0.005416       0.1203
   31      0.2065      0.1149    0.005453       0.1203
   32      0.2113      0.1149     0.00549       0.1204
   33      0.2163      0.1149    0.005529       0.1204
   34      0.2213      0.1149    0.005568       0.1204
   35      0.2265      0.1149    0.005609       0.1205
   36      0.2317      0.1149     0.00565       0.1205
   37      0.2371      0.1149    0.005692       0.1206
   38      0.2427      0.1149    0.005735       0.1206
   39      0.2483      0.1149     0.00578       0.1207
   40      0.2541      0.1149    0.005825       0.1207
   41        0.26      0.1149    0.005871       0.1207
   42      0.2661      0.1149    0.005919       0.1208
   43      0.2723      0.1149    0.005967       0.1208
   44      0.2786      0.1149    0.006017       0.1209
   45      0.2851      0.1149    0.006067       0.1209
   46      0.2917      0.1149    0.006119        0.121
   47      0.2985      0.1149    0.006173        0.121
   48      0.3055      0.1149    0.006227       0.1211
   49      0.3126      0.1149    0.006283       0.1212
   50      0.3199      0.1149     0.00634       0.1212
   51      0.3273      0.1149    0.006398       0.1213
   52       0.335      0.1149    0.006458       0.1213
   53      0.3428      0.1149    0.006519       0.1214
   54      0.3508      0.1149    0.006581       0.1215
   55      0.3589      0.1149    0.006645       0.1215
   56      0.3673      0.1149    0.006711       0.1216
   57      0.3758      0.1149    0.006778       0.1217
   58      0.3846      0.1149    0.006846       0.1217
   59      0.3936      0.1149    0.006916       0.1218
   60      0.4027      0.1149    0.006988       0.1219
   61      0.4121      0.1149    0.007061       0.1219
   62      0.4217      0.1149    0.007136        0.122
   63      0.4315      0.1149    0.007213       0.1221
   64      0.4416      0.1149    0.007292       0.1222
   65      0.4519      0.1149    0.007372       0.1222
   66      0.4624      0.1149    0.007455       0.1223
   67      0.4732      0.1149    0.007539       0.1224
   68      0.4842      0.1149    0.007625       0.1225
   69      0.4955      0.1149    0.007714       0.1226
   70       0.507      0.1149    0.007804       0.1227
   71      0.5188      0.1149    0.007896       0.1228
   72      0.5309      0.1149    0.007991       0.1229
   73      0.5433      0.1149    0.008088        0.123
   74      0.5559      0.1149    0.008187       0.1231
   75      0.5689      0.1149    0.008288       0.1232
   76      0.5821      0.1149    0.008392       0.1233
   77      0.5957      0.1149    0.008498       0.1234
   78      0.6095      0.1149    0.008606       0.1235
   79      0.6237      0.1149    0.008718       0.1236
   80      0.6383      0.1149    0.008831       0.1237
   81      0.6531      0.1149    0.008948       0.1238
   82      0.6683      0.1149    0.009067       0.1239
   83      0.6839      0.1149    0.009188       0.1241
   84      0.6998      0.1149    0.009313       0.1242
   85      0.7161      0.1149    0.009441       0.1243
   86      0.7328      0.1149    0.009571       0.1244
